name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,177.5589,5.9379,-27.5464,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,434.6004,3.5529,-22.1887,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-666.4567,19.1225,53.7637,113.9619,5.0,5.0,34.8519,1.0,1.0,0.9803,0.254,,,,,
SNK_HX,HeatExchanger,,,,,-1101.057,172.0139,214.8068,8.042,5.0,5.0,6.401,1.0,1.0,0.8592,0.9922,,,,,
SRC_HX,HeatExchanger,,,,,-488.8978,77.7272,59.1082,7.7846,5.0,5.0,6.2899,1.0,1.0,0.6084,0.9789,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.1684,27.5464,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.2815,22.1887,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
