label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,50.0,3.0,209.59,0.7037,0.01518,65.875,819.74,6009.15,199.02,6208.17
13,water (source),SRC_HX,source outlet,15.0,39.83,3.0,167.099,0.5701,0.015115,66.158,816.23,2683.77,199.02,2882.79
21,R717,SRC_HX,COMP1,0.71764,39.83,13.4358,1650.552,5.7473,0.07099,14.087,183.4,56775.81,293715.5,350491.31
22,R717,COMP1,IHX,0.71764,162.66,49.0889,1897.376,5.8626,0.026969,37.08,69.67,263955.37,299537.41,563492.78
22c,R717,IHX,cc1,0.71764,83.0,49.0889,762.427,2.785,0.001434,697.411,3.7,31218.31,299537.41,330755.72
23,R717,cc1,VAL1,0.71764,83.0,49.0889,762.427,2.785,0.001434,697.411,3.7,31218.31,299537.41,330755.72
24,R717,VAL1,SRC_HX,0.71764,34.83,13.4358,762.427,2.864,0.01641,60.939,42.39,13873.69,293715.5,307589.19
31,R600a,IHX,COMP2,7.41408,83.0,12.8932,666.863,2.3935,0.225066,4.443,6007.16,57983.11,45192.52,103175.63
32,R600a,COMP2,SNK_HX,7.41408,129.07,30.8803,705.515,2.4128,0.075103,13.315,2004.56,87779.61,48401.61,136181.22
32c,R600a,SNK_HX,cc2,7.41408,125.0,30.8803,557.006,2.04,0.021147,47.287,564.44,48542.55,48401.61,96944.15
33,R600a,cc2,VAL2,7.41408,125.0,30.8803,557.006,2.04,0.021147,47.287,564.44,48542.55,48401.61,96944.15
34,R600a,VAL2,IHX,7.41408,78.0,12.8932,557.006,2.0809,0.140098,7.138,3739.32,39768.61,45192.52,84961.12
41,water (sink),sink inlet,SNK_HX,0.5,120.0,1.9867,503.812,1.5279,0.00053,1886.213,0.95,58708.67,97.52,58806.2
43,water (sink),SNK_HX,sink outlet,0.5,120.0,1.9867,2705.926,7.1291,0.445606,2.244,802.09,618829.26,97.52,618926.78
