label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,40.0,3.0,167.792,0.5723,0.015116,66.154,816.28,2727.85,199.02,2926.88
12,water (source),SRC_HX,source outlet,15.0,30.44,3.0,127.851,0.4428,0.015066,66.374,813.58,759.41,199.02,958.43
21,R290,SRC_HX,COMP1,3.22049,30.44,9.6283,611.328,2.3838,0.159261,6.279,1846.44,6504.66,109598.15,116102.81
22,R290,COMP1,IHX,3.22049,96.72,32.5087,681.949,2.4222,0.045364,22.044,525.94,61318.68,114142.24,175460.92
22c,R290,IHX,cc1,3.22049,77.0,32.5087,425.293,1.702,0.008294,120.573,96.16,15801.46,114142.24,129943.7
23,R290,cc1,VAL1,3.22049,77.0,32.5087,425.293,1.702,0.008294,120.573,96.16,15801.46,114142.24,129943.7
24,R290,VAL1,SRC_HX,3.22049,25.44,9.6283,425.293,1.7611,0.076734,13.032,889.63,3032.39,109598.15,112630.54
31,R600,IHX,COMP2,5.41095,77.0,8.4694,697.405,2.4985,0.265963,3.76,5180.81,58510.53,29763.55,88274.08
32,R600,COMP2,SNK_HX,5.41095,126.16,24.1659,748.135,2.524,0.078771,12.695,1534.42,99072.29,32465.73,131538.02
32c,R600,SNK_HX,cc2,5.41095,125.0,24.1659,544.648,2.0129,0.013088,76.405,254.95,45404.57,32465.73,77870.29
33,R600,cc2,VAL2,5.41095,125.0,24.1659,544.648,2.0129,0.013088,76.405,254.95,45404.57,32465.73,77870.29
34,R600,VAL2,IHX,5.41095,72.0,8.4694,544.648,2.0561,0.143346,6.976,2792.29,35429.53,29763.55,65193.08
41,water (sink),sink inlet,SNK_HX,0.5,120.0,1.9867,503.812,1.5279,0.00053,1886.213,0.95,58708.67,97.52,58806.2
42,water (sink),SNK_HX,sink outlet,0.5,120.0,1.9867,2705.926,7.1291,0.445606,2.244,802.09,618829.26,97.52,618926.78
