name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,325.0967,4.4428,-25.1916,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,153.1456,1.9837,-8.3312,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-975.0562,85.7601,91.8169,21.6771,5.0,5.0,11.3696,1.0,1.0,0.9326,0.8214,,,,,
SNK_HX,HeatExchanger,,,,,-1128.2019,191.7286,224.9668,6.8673,5.0,5.0,5.8844,1.0,1.0,0.9417,0.9938,,,,,
SRC_HX,HeatExchanger,,,,,-649.9596,38.6222,35.7553,39.99,5.0,5.0,16.8287,1.0,1.0,0.8887,0.6964,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.2251,25.1916,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.5041,8.3312,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
