Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,40,3,167.8,572.3,43.9,2.927,2.728,0.199,0,-0,0,0,-0,0
12,15,29.06,3,122.1,423.6,11.58,0.772,0.5729,0.199,3.375e-14,2.079e-16,3.396e-14,1.091e-12,1.934e-14,8.146e-13
21,0.7321,29.06,9.738,1644,5864,226.6,309.5,16.43,293.1,6.139,60.39,66.53,141.8,78.17,81.55
22,0.7321,160.5,39.64,1913,5991,396.6,541.7,243.7,298,52.96,61.4,114.4,82.46,78.17,80.1
22c,0.7321,73,39.64,706.7,2631,234.3,320,22,298,4.782,61.4,66.18,82.46,78.17,78.46
23,0.7321,73,39.64,706.7,2631,234.3,320,22,298,4.782,61.4,66.18,82.46,78.17,78.46
24,0.7321,24.06,9.738,706.7,2711,217.2,296.6,3.517,293.1,0.7643,60.39,61.15,82.46,78.17,78.22
31,4.874,73,7.725,691.8,2494,410.2,84.17,54.53,29.64,105.7,42.13,147.8,110.5,81.03,100.1
32,4.874,115.9,20.23,739.4,2518,606.8,124.5,92.72,31.79,160,45.19,205.2,98.35,81.03,93.92
32c,4.874,115,20.23,510.6,1929,333.9,68.52,36.73,31.79,63.38,45.19,108.6,98.35,81.03,90.31
33,4.874,115,20.23,510.6,1929,333.9,68.52,36.73,31.79,63.38,45.19,108.6,98.35,81.03,90.31
34,4.874,68,7.725,510.6,1963,285.6,58.6,28.97,29.64,49.98,42.13,92.11,98.35,81.03,89.59
41,0.5,110,1.434,461.4,1419,24.19,48.39,48.34,0.04213,0,0,0,0,0,0
42,0.5,110,1.434,2691,7238,286.1,572.1,572.1,0.04213,101.7,-0,101.7,98.75,-0,98.75
