name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,216.4221,4.0126,-38.632,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,189.1286,1.9769,-12.9812,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-925.6945,32.4361,74.2711,86.3444,4.9916,5.0,28.539,0.9942,0.9888,0.9752,0.4261,,,,,
SNK_HX,HeatExchanger,,,,,-1114.8231,162.3889,206.2887,9.1449,5.0,5.0521,6.8651,0.9905,1.0,0.9052,0.9915,,,,,
SRC_HX,HeatExchanger,,,,,-709.2724,89.648,74.2918,11.7803,5.0,5.0,7.9117,1.0,0.9865,0.6935,0.9605,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.2541,38.157,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.5165,12.5812,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
