name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,210.8721,5.8546,-25.0286,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,304.6144,3.4999,-14.45,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-810.2087,23.3361,65.801,113.3642,5.0,5.0,34.7191,1.0,1.0,0.9808,0.3969,,,,,
SNK_HX,HeatExchanger,,,,,-1114.8231,222.3548,222.9644,5.0274,5.0,5.0,5.0137,1.0,1.0,0.9314,0.9953,,,,,
SRC_HX,HeatExchanger,,,,,-599.3365,83.0857,65.9652,10.0,5.0,5.0,7.2135,1.0,1.0,0.6661,0.9739,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.1708,25.0286,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.2857,14.45,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
