label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,40.0,3.0,167.792,0.5723,0.015116,66.154,816.28,2727.85,199.02,2926.88
12,water (source),SRC_HX,source outlet,15.0,30.51,3.0,128.134,0.4437,0.015067,66.372,813.59,769.19,199.02,968.21
21,R1270,SRC_HX,COMP1,3.19651,30.51,11.6918,608.822,2.3744,0.133756,7.476,1539.18,6556.17,125313.89,131870.06
22,R1270,COMP1,IHX,3.19651,103.02,38.6052,681.303,2.4132,0.040931,24.431,471.02,62481.43,130497.5,192978.93
22c,R1270,IHX,cc1,3.19651,77.0,38.6052,422.721,1.6902,0.008236,121.416,94.78,15852.4,130497.5,146349.9
23,R1270,cc1,VAL1,3.19651,77.0,38.6052,422.721,1.6902,0.008236,121.416,94.78,15852.4,130497.5,146349.9
24,R1270,VAL1,SRC_HX,3.19651,25.51,11.6918,422.721,1.7516,0.064417,15.524,741.27,3043.42,125313.89,128357.31
31,R600,IHX,COMP2,5.41095,77.0,8.4694,697.405,2.4985,0.265963,3.76,5180.81,58510.53,29763.55,88274.08
32,R600,COMP2,SNK_HX,5.41095,126.16,24.1659,748.135,2.524,0.078771,12.695,1534.42,99072.29,32465.73,131538.02
32c,R600,SNK_HX,cc2,5.41095,125.0,24.1659,544.648,2.0129,0.013088,76.405,254.95,45404.57,32465.73,77870.29
33,R600,cc2,VAL2,5.41095,125.0,24.1659,544.648,2.0129,0.013088,76.405,254.95,45404.57,32465.73,77870.29
34,R600,VAL2,IHX,5.41095,72.0,8.4694,544.648,2.0561,0.143346,6.976,2792.29,35429.53,29763.55,65193.08
41,water (sink),sink inlet,SNK_HX,0.5,120.0,1.9867,503.812,1.5279,0.00053,1886.213,0.95,58708.67,97.52,58806.2
42,water (sink),SNK_HX,sink outlet,0.5,120.0,1.9867,2705.926,7.1291,0.445606,2.244,802.09,618829.26,97.52,618926.78
