label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,14.78394,30.0,3.0,126.004,0.4367,0.014847,67.353,790.2,697.18,199.02,896.2
12,water (source),SRC_HX,source outlet,14.78394,20.01,3.0,84.236,0.2966,0.014809,67.526,788.18,0.0,199.02,199.02
21,R1270,SRC_HX,COMP1,2.90733,20.01,8.9222,599.927,2.389,0.159873,6.255,1673.29,0.0,118692.31,118692.31
22,R1270,COMP1,IHX,2.90733,93.96,32.0083,679.022,2.4325,0.046578,21.469,487.5,55815.58,129233.94,185049.52
22c,R1270,IHX,cc1,2.90733,67.0,32.0083,387.536,1.593,0.006952,143.834,72.77,10420.59,129233.94,139654.53
23,R1270,cc1,VAL1,2.90733,67.0,32.0083,387.536,1.593,0.006952,143.834,72.77,10420.59,129233.94,139654.53
24,R1270,VAL1,SRC_HX,2.90733,15.01,8.9222,387.536,1.6522,0.069049,14.482,722.69,3598.41,118692.31,122290.72
31,R600,IHX,COMP2,4.90446,67.0,6.7003,683.402,2.4862,0.305022,3.278,5385.5,48413.76,29458.27,77872.03
32,R600,COMP2,SNK_HX,4.90446,115.46,20.2302,737.919,2.5143,0.089375,11.189,1578.01,92365.97,31789.28,124155.25
32c,R600,SNK_HX,cc2,4.90446,115.0,20.2302,510.611,1.9287,0.011216,89.161,198.03,36731.57,31789.28,68520.84
33,R600,cc2,VAL2,4.90446,115.0,20.2302,510.611,1.9287,0.011216,89.161,198.03,36731.57,31789.28,68520.84
34,R600,VAL2,IHX,4.90446,62.0,6.7003,510.611,1.9709,0.150658,6.638,2660.02,26692.51,29458.27,56150.77
41,water (sink),sink inlet,SNK_HX,0.5,110.0,1.4338,461.415,1.4188,0.000526,1901.896,0.95,48344.92,42.13,48387.05
42,water (sink),SNK_HX,sink outlet,0.5,110.0,1.4338,2691.061,7.2381,0.604646,1.654,1088.36,572077.54,42.13,572119.67
