label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.15597,30.0,3.0,126.004,0.4367,0.015221,65.699,830.47,697.18,199.02,896.2
12,water (source),SRC_HX,source outlet,15.15597,20.01,3.0,84.236,0.2966,0.015182,65.868,828.34,0.0,199.02,199.02
21,R717,SRC_HX,COMP1,0.6305,20.01,7.2843,1636.244,5.9666,0.112953,8.853,256.38,0.0,271900.35,271900.35
22,R717,COMP1,IHX,0.6305,145.72,28.7894,1897.073,6.094,0.040842,24.485,92.7,199156.79,296226.28,495383.07
22c,R717,IHX,cc1,0.6305,59.0,28.7894,632.238,2.418,0.001151,868.631,2.61,11922.35,296226.28,308148.63
23,R717,cc1,VAL1,0.6305,59.0,28.7894,632.238,2.418,0.001151,868.631,2.61,11922.35,296226.28,308148.63
24,R717,VAL1,SRC_HX,0.6305,15.01,7.2843,632.238,2.4828,0.020609,48.522,46.78,17260.39,271900.35,289160.74
31,R600,IHX,COMP2,4.94105,59.0,5.4955,672.011,2.4769,0.373702,2.676,6647.32,39968.2,29250.27,69218.47
32,R600,COMP2,SNK_HX,4.94105,115.0,20.2302,736.236,2.51,0.089495,11.174,1591.91,91953.44,31789.28,123742.71
32c,R600,SNK_HX,cc2,4.94105,115.0,20.2302,510.611,1.9287,0.011299,88.501,200.99,36731.57,31789.28,68520.84
33,R600,cc2,VAL2,4.94105,115.0,20.2302,510.611,1.9287,0.011299,88.501,200.99,36731.57,31789.28,68520.84
34,R600,VAL2,IHX,4.94105,54.0,5.4955,510.611,1.9838,0.201248,4.969,3579.76,23125.7,29250.27,52375.96
41,water (sink),sink inlet,SNK_HX,0.5,110.0,1.4338,461.415,1.4188,0.000526,1901.896,0.95,48344.92,42.13,48387.05
42,water (sink),SNK_HX,sink outlet,0.5,110.0,1.4338,2691.061,7.2381,0.604646,1.654,1088.36,572077.54,42.13,572119.67
