label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,13.06393,20.0,3.0,84.194,0.2964,0.013086,76.416,615.45,-0.0,199.02,199.02
12,water (source),SRC_HX,source outlet,13.06393,10.0,3.0,42.313,0.1511,0.013067,76.531,614.52,731.33,199.02,930.35
21,R1270,SRC_HX,COMP1,2.45503,10.0,6.762,590.739,2.4043,0.177472,5.635,1568.51,298.83,104733.17,105032.0
22,R1270,COMP1,IHX,2.45503,90.27,28.4955,680.997,2.4545,0.045562,21.948,402.68,52019.18,128559.31,180578.49
22c,R1270,IHX,cc1,2.45503,61.0,28.4955,367.875,1.5371,0.005659,176.702,50.02,7811.6,128559.31,136370.91
23,R1270,cc1,VAL1,2.45503,61.0,28.4955,367.875,1.5371,0.005659,176.702,50.02,7811.6,128559.31,136370.91
24,R1270,VAL1,SRC_HX,2.45503,5.0,6.762,367.875,1.6033,0.075219,13.294,664.8,12237.09,104733.17,116970.27
31,R600a,IHX,COMP2,6.32064,61.0,7.9156,638.884,2.3685,0.318972,3.135,7257.98,38229.61,44300.99,82530.6
32,R600a,COMP2,SNK_HX,6.32064,117.05,26.0191,693.641,2.3967,0.079656,12.554,1812.52,81495.84,47536.22,129032.07
32c,R600a,SNK_HX,cc2,6.32064,115.0,26.0191,517.263,1.9423,0.016233,61.601,369.38,38311.81,47536.22,85848.03
33,R600a,cc2,VAL2,6.32064,115.0,26.0191,517.263,1.9423,0.016233,61.601,369.38,38311.81,47536.22,85848.03
34,R600a,VAL2,IHX,6.32064,56.0,7.9156,517.263,1.9992,0.19624,5.096,4465.31,24858.01,44300.99,69159.01
41,water (sink),sink inlet,SNK_HX,0.5,110.0,1.4338,461.415,1.4188,0.000526,1901.896,0.95,48344.92,42.13,48387.05
42,water (sink),SNK_HX,sink outlet,0.5,110.0,1.4338,2691.061,7.2381,0.604646,1.654,1088.36,572077.54,42.13,572119.67
