name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,203.6682,4.8037,-27.4552,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,267.3788,3.0193,-13.5299,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-847.4443,26.8973,69.9444,99.1011,5.0,5.0,31.5067,1.0,1.0,0.9794,0.4403,,,,,
SNK_HX,HeatExchanger,,,,,-1114.8231,213.3288,222.9064,5.4584,5.0,5.0,5.2258,1.0,1.0,0.9318,0.9949,,,,,
SRC_HX,HeatExchanger,,,,,-643.7761,87.952,70.1336,10.2651,5.0,5.0,7.3196,1.0,1.0,0.6722,0.9713,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.2082,27.4552,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.3312,13.5299,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
