label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,50.0,3.0,209.59,0.7037,0.01518,65.875,819.74,6009.15,199.02,6208.17
13,water (source),SRC_HX,source outlet,15.0,40.41,3.0,169.514,0.5778,0.015119,66.143,816.41,2838.86,199.02,3037.88
21,R290,SRC_HX,COMP1,3.46583,40.41,12.2988,621.158,2.378,0.133359,7.499,1663.92,17509.2,110131.41,127640.61
22,R290,COMP1,IHX,3.46583,102.09,36.2987,682.716,2.411,0.042287,23.648,527.62,64643.71,114889.79,179533.5
22c,R290,IHX,cc1,3.46583,83.0,36.2987,447.711,1.7626,0.009356,106.88,116.74,19693.08,114889.79,134582.87
23,R290,cc1,VAL1,3.46583,83.0,36.2987,447.711,1.7626,0.009356,106.88,116.74,19693.08,114889.79,134582.87
24,R290,VAL1,SRC_HX,3.46583,35.41,12.2988,447.711,1.8162,0.066358,15.07,827.95,8763.91,110131.41,118895.32
31,R600a,IHX,COMP2,7.41408,83.0,12.8932,666.863,2.3935,0.225066,4.443,6007.16,57983.11,45192.52,103175.63
32,R600a,COMP2,SNK_HX,7.41408,129.07,30.8803,705.515,2.4128,0.075103,13.315,2004.56,87779.61,48401.61,136181.22
32c,R600a,SNK_HX,cc2,7.41408,125.0,30.8803,557.006,2.04,0.021147,47.287,564.44,48542.55,48401.61,96944.15
33,R600a,cc2,VAL2,7.41408,125.0,30.8803,557.006,2.04,0.021147,47.287,564.44,48542.55,48401.61,96944.15
34,R600a,VAL2,IHX,7.41408,78.0,12.8932,557.006,2.0809,0.140098,7.138,3739.32,39768.61,45192.52,84961.12
41,water (sink),sink inlet,SNK_HX,0.5,120.0,1.9867,503.812,1.5279,0.00053,1886.213,0.95,58708.67,97.52,58806.2
43,water (sink),SNK_HX,sink outlet,0.5,120.0,1.9867,2705.926,7.1291,0.445606,2.244,802.09,618829.26,97.52,618926.78
