label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,20.0,3.0,84.194,0.2964,0.015026,66.553,811.38,-0.0,199.02,199.02
13,water (source),SRC_HX,source outlet,15.0,9.92,3.0,41.975,0.1499,0.015003,66.654,810.16,743.3,199.02,942.32
21,R290,SRC_HX,COMP1,2.47744,9.92,5.4981,589.169,2.3991,0.213078,4.693,1900.4,317.82,89138.75,89456.57
22,R290,COMP1,IHX,2.47744,69.52,18.6717,662.517,2.4423,0.065846,15.187,587.27,38740.54,111400.79,150141.34
22c,R290,IHX,cc1,2.47744,49.0,18.6717,333.548,1.4391,0.005483,182.398,48.9,3881.01,111400.79,115281.8
23,R290,cc1,VAL1,2.47744,49.0,18.6717,333.548,1.4391,0.005483,182.398,48.9,3881.01,111400.79,115281.8
24,R290,VAL1,SRC_HX,2.47744,4.92,5.4981,333.548,1.4801,0.071516,13.983,637.84,14097.18,89138.75,103235.93
31,R600,IHX,COMP2,4.55065,49.0,4.2256,657.608,2.4661,0.44443,2.25,7280.8,28935.45,29030.97,57966.41
32,R600,COMP2,SNK_HX,4.55065,105.0,16.8006,726.434,2.5025,0.103323,9.678,1692.67,84921.58,31199.21,116120.79
32c,R600,SNK_HX,cc2,4.55065,105.0,16.8006,478.513,1.8469,0.009941,100.594,162.86,29194.29,31199.21,60393.49
33,R600,cc2,VAL2,4.55065,105.0,16.8006,478.513,1.8469,0.009941,100.594,162.86,29194.29,31199.21,60393.49
34,R600,VAL2,IHX,4.55065,44.0,4.2256,478.513,1.9017,0.222641,4.492,3647.38,15312.51,29030.97,44343.47
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
43,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
