name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,223.2671,3.5194,-22.4788,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,273.4857,3.0934,-13.6903,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-841.3374,64.9145,77.904,26.7235,5.0,5.0,12.9607,1.0,1.0,0.9448,0.7527,,,,,
SNK_HX,HeatExchanger,,,,,-1114.8231,214.8434,222.9236,5.3827,5.0,5.0,5.189,1.0,1.0,0.9317,0.9949,,,,,
SRC_HX,HeatExchanger,,,,,-618.0703,57.1393,49.8741,19.99,5.0,5.0,10.8169,1.0,1.0,0.7997,0.857,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.2841,22.4788,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.3233,13.6903,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
