label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,20.0,3.0,84.194,0.2964,0.015026,66.553,811.38,-0.0,199.02,199.02
12,water (source),SRC_HX,source outlet,15.0,11.44,3.0,48.365,0.1724,0.015005,66.644,810.28,533.5,199.02,732.52
21,R1270,SRC_HX,COMP1,2.13116,11.44,7.0467,592.101,2.402,0.147967,6.758,1135.23,219.78,106850.69,107070.47
22,R1270,COMP1,IHX,2.13116,78.62,23.7821,668.324,2.4457,0.047221,21.177,362.29,42816.61,127652.1,170468.71
22c,R1270,IHX,cc1,2.13116,52.0,23.7821,339.918,1.4556,0.004686,213.418,35.95,4678.34,127652.1,132330.44
23,R1270,cc1,VAL1,2.13116,52.0,23.7821,339.918,1.4556,0.004686,213.418,35.95,4678.34,127652.1,132330.44
24,R1270,VAL1,SRC_HX,2.13116,6.44,7.0467,339.918,1.5003,0.05116,19.547,392.51,12367.25,106850.69,119217.95
31,R600a,IHX,COMP2,6.38449,52.0,6.3574,626.886,2.3587,0.401249,2.492,9222.36,29388.95,44021.57,73410.52
32,R600a,COMP2,SNK_HX,6.38449,116.57,26.0191,691.877,2.3921,0.079808,12.53,1834.32,81057.95,47536.22,128594.17
32c,R600a,SNK_HX,cc2,6.38449,115.0,26.0191,517.263,1.9423,0.016397,60.985,376.88,38311.81,47536.22,85848.03
33,R600a,cc2,VAL2,6.38449,115.0,26.0191,517.263,1.9423,0.016397,60.985,376.88,38311.81,47536.22,85848.03
34,R600a,VAL2,IHX,6.38449,47.0,6.3574,517.263,2.0165,0.266251,3.756,6119.54,20073.48,44021.57,64095.05
41,water (sink),sink inlet,SNK_HX,0.5,110.0,1.4338,461.415,1.4188,0.000526,1901.896,0.95,48344.92,42.13,48387.05
42,water (sink),SNK_HX,sink outlet,0.5,110.0,1.4338,2691.061,7.2381,0.604646,1.654,1088.36,572077.54,42.13,572119.67
