Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,20,3,84.19,296.4,2.985,0.199,-6.032e-11,0.199,0,-0,0,-0,-0,0
12,15,12.53,3,52.93,188.4,9.063,0.6042,0.4052,0.199,38.29,-3.625e-16,38.29,1750,-3.373e-14,1174
21,2.252,12.53,5.933,592.1,2397,209.6,93.08,0.1755,92.9,0.6254,68.94,69.56,439.6,91.54,92.19
22,2.252,86.82,25.87,679.8,2446,374.6,166.4,53.54,112.8,39.73,83.73,123.5,91.54,91.54,91.54
22c,2.252,65,25.87,383.9,1586,275.6,122.4,9.566,112.8,7.098,83.73,90.82,91.54,91.54,91.54
23,2.252,65,25.87,383.9,1586,275.6,122.4,9.566,112.8,7.098,83.73,90.82,91.54,91.54,91.54
24,2.252,7.533,5.933,383.9,1655,230.2,102.2,9.342,92.9,33.29,68.94,102.2,439.6,91.54,123.3
31,7.649,65,8.692,644.1,2373,661.3,86.46,42.02,44.44,127.1,104.3,231.4,109.8,85.23,97.19
32,7.649,128,30.88,701,2401,1032,134.9,86.55,48.4,231.6,113.6,345.2,97.18,85.23,92.89
32c,7.649,125,30.88,557,2040,741.5,96.94,48.54,48.4,129.9,113.6,243.5,97.18,85.23,91.21
33,7.649,125,30.88,557,2040,741.5,96.94,48.54,48.4,129.9,113.6,243.5,97.18,85.23,91.21
34,7.649,60,8.692,557,2112,580.8,75.93,31.49,44.44,84.26,104.3,188.5,97.18,85.23,90.18
41,0.5,120,1.987,503.8,1528,29.4,58.81,58.71,0.09752,0,0,0,0,0,0
42,0.5,120,1.987,2706,7129,309.5,618.9,618.8,0.09752,108.3,-0,146.6,97.25,-0,131.6
