label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,20.0,3.0,84.194,0.2964,0.015026,66.553,811.38,-0.0,199.02,199.02
12,water (source),SRC_HX,source outlet,15.0,10.67,3.0,45.116,0.1609,0.015004,66.649,810.21,635.75,199.02,834.77
21,R717,SRC_HX,COMP1,0.56869,10.67,5.2805,1627.02,6.0791,0.138495,7.22,283.54,404.66,229282.68,229687.34
22,R717,COMP1,IHX,0.56869,149.48,24.2843,1918.128,6.2205,0.044883,22.28,91.89,183852.05,295490.14,479342.2
22c,R717,IHX,cc1,0.56869,52.0,24.2843,596.271,2.3111,0.001016,984.653,2.08,8047.94,295490.14,303538.08
23,R717,cc1,VAL1,0.56869,52.0,24.2843,596.271,2.3111,0.001016,984.653,2.08,8047.94,295490.14,303538.08
24,R717,VAL1,SRC_HX,0.56869,5.67,5.2805,596.271,2.3827,0.025159,39.747,51.51,53259.05,229282.68,282541.74
31,R600,IHX,COMP2,4.96735,52.0,4.5807,661.944,2.4692,0.448677,2.229,8023.45,32302.3,29092.29,61394.58
32,R600,COMP2,SNK_HX,4.96735,115.0,20.2302,735.041,2.5069,0.089555,11.166,1601.46,91660.99,31789.28,123450.27
32c,R600,SNK_HX,cc2,4.96735,115.0,20.2302,510.611,1.9287,0.01136,88.032,203.14,36731.57,31789.28,68520.84
33,R600,cc2,VAL2,4.96735,115.0,20.2302,510.611,1.9287,0.01136,88.032,203.14,36731.57,31789.28,68520.84
34,R600,VAL2,IHX,4.96735,47.0,4.5807,510.611,1.9968,0.25833,3.871,4619.57,19469.95,29092.29,48562.24
41,water (sink),sink inlet,SNK_HX,0.5,110.0,1.4338,461.415,1.4188,0.000526,1901.896,0.95,48344.92,42.13,48387.05
42,water (sink),SNK_HX,sink outlet,0.5,110.0,1.4338,2691.061,7.2381,0.604646,1.654,1088.36,572077.54,42.13,572119.67
