label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,20.0,3.0,84.194,0.2964,0.015026,66.553,811.38,-0.0,199.02,199.02
12,water (source),SRC_HX,source outlet,15.0,10.03,3.0,42.444,0.1515,0.015003,66.653,810.17,726.7,199.02,925.73
21,R1270,SRC_HX,COMP1,2.98372,10.03,6.768,590.769,2.4042,0.215501,4.64,2314.78,296.99,104779.46,105076.45
22,R1270,COMP1,IHX,2.98372,95.14,30.8025,685.813,2.4564,0.051164,19.545,549.57,55830.08,129002.51,184832.59
22c,R1270,IHX,cc1,2.98372,65.0,30.8025,380.878,1.5742,0.007044,141.955,75.67,9501.28,129002.51,138503.79
23,R1270,cc1,VAL1,2.98372,65.0,30.8025,380.878,1.5742,0.007044,141.955,75.67,9501.28,129002.51,138503.79
24,R1270,VAL1,SRC_HX,2.98372,5.03,6.768,380.878,1.65,0.098483,10.154,1057.84,11510.74,104779.46,116290.2
31,R600,IHX,COMP2,4.50294,65.0,6.3824,680.567,2.4838,0.293892,3.403,4764.17,46333.34,29403.38,75736.72
32,R600,COMP2,SNK_HX,4.50294,105.85,16.8006,729.06,2.5095,0.103109,9.698,1671.46,85514.03,31199.21,116713.24
32c,R600,SNK_HX,cc2,4.50294,105.0,16.8006,478.513,1.8469,0.009837,101.66,159.46,29194.29,31199.21,60393.49
33,R600,cc2,VAL2,4.50294,105.0,16.8006,478.513,1.8469,0.009837,101.66,159.46,29194.29,31199.21,60393.49
34,R600,VAL2,IHX,4.50294,60.0,6.3824,478.513,1.8776,0.120712,8.284,1956.82,22005.56,29403.38,51408.94
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
42,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
