label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,40.0,3.0,167.792,0.5723,0.015116,66.154,816.28,2727.85,199.02,2926.88
12,water (source),SRC_HX,source outlet,15.0,28.56,3.0,119.98,0.4167,0.015058,66.411,813.12,512.38,199.02,711.4
21,R290,SRC_HX,COMP1,3.09,28.56,9.1762,609.392,2.385,0.160402,6.234,1784.31,4315.77,109507.8,113823.57
22,R290,COMP1,IHX,3.09,81.02,24.8706,668.064,2.4183,0.058691,17.038,652.88,50092.06,112631.36,162723.41
22c,R290,IHX,cc1,3.09,63.0,24.8706,377.295,1.5676,0.007302,136.958,81.22,8701.77,112631.36,121333.13
23,R290,cc1,VAL1,3.09,63.0,24.8706,377.295,1.5676,0.007302,136.958,81.22,8701.77,112631.36,121333.13
24,R290,VAL1,SRC_HX,3.09,23.56,9.1762,377.295,1.603,0.057511,17.388,639.75,1450.16,109507.8,110957.96
31,R600,IHX,COMP2,4.51017,63.0,6.0757,677.724,2.4815,0.309047,3.236,5017.87,44232.36,29350.45,73582.81
32,R600,COMP2,SNK_HX,4.51017,105.7,16.8006,728.659,2.5084,0.103144,9.695,1674.71,85423.16,31199.21,116622.37
32c,R600,SNK_HX,cc2,4.51017,105.0,16.8006,478.513,1.8469,0.009852,101.497,159.97,29194.29,31199.21,60393.49
33,R600,cc2,VAL2,4.51017,105.0,16.8006,478.513,1.8469,0.009852,101.497,159.97,29194.29,31199.21,60393.49
34,R600,VAL2,IHX,4.51017,58.0,6.0757,478.513,1.8801,0.130582,7.658,2120.21,21304.49,29350.45,50654.94
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
42,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
