Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,40,3,167.8,572.3,43.9,2.927,2.728,0.199,0,-0,0,0,-0,0
12,15,29.55,3,124.1,430.5,12.54,0.8359,0.6368,0.199,2.274e-14,2.912e-16,2.303e-14,6.612e-13,2.71e-14,5.102e-13
21,3.277,29.55,11.42,608,2376,428.4,130.7,5.456,125.3,9.491,125.4,134.9,147.5,84.83,87.45
22,3.277,98.33,35.85,677.7,2413,620.5,189.3,59.36,130,63.44,130.1,193.5,90.59,84.83,86.64
22c,3.277,73,35.85,408.2,1651,470.2,143.5,13.5,130,14.43,130.1,144.5,90.59,84.83,85.37
23,3.277,73,35.85,408.2,1651,470.2,143.5,13.5,130,14.43,130.1,144.5,90.59,84.83,85.37
24,3.277,24.55,11.42,408.2,1705,418.1,127.6,2.32,125.3,2.48,125.4,127.9,90.59,84.83,84.94
31,4.874,73,7.725,691.8,2494,410.2,84.17,54.53,29.64,111.8,45.1,156.9,116.8,86.73,106.2
32,4.874,115.9,20.23,739.4,2518,606.8,124.5,92.72,31.79,169.9,48.37,218.3,104.4,86.73,99.92
32c,4.874,115,20.23,510.6,1929,333.9,68.52,36.73,31.79,67.31,48.37,115.7,104.4,86.73,96.22
33,4.874,115,20.23,510.6,1929,333.9,68.52,36.73,31.79,67.31,48.37,115.7,104.4,86.73,96.22
34,4.874,68,7.725,510.6,1963,285.6,58.6,28.97,29.64,53.08,45.1,98.17,104.4,86.73,95.48
41,0.5,110,1.434,461.4,1419,24.19,48.39,48.34,0.04213,0,0,0,0,0,0
42,0.5,110,1.434,2691,7238,286.1,572.1,572.1,0.04213,108.6,-0,108.6,105.5,-0,105.5
