label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,13.9701,30.0,3.0,126.004,0.4367,0.01403,71.276,705.6,697.18,199.02,896.2
12,water (source),SRC_HX,source outlet,13.9701,20.01,3.0,84.236,0.2966,0.013994,71.459,703.79,0.0,199.02,199.02
21,R1270,SRC_HX,COMP1,2.44745,20.01,8.9222,599.927,2.389,0.134584,7.43,1185.79,0.0,118692.31,118692.31
22,R1270,COMP1,IHX,2.44745,84.07,27.3924,669.507,2.4283,0.045963,21.757,404.97,48414.12,128347.2,176761.31
22c,R1270,IHX,cc1,2.44745,59.0,27.3924,361.516,1.5188,0.005579,179.25,49.15,7037.76,128347.2,135384.95
23,R1270,cc1,VAL1,2.44745,59.0,27.3924,361.516,1.5188,0.005579,179.25,49.15,7037.76,128347.2,135384.95
24,R1270,VAL1,SRC_HX,2.44745,15.01,8.9222,361.516,1.562,0.048851,20.471,430.41,4048.99,118692.31,122741.3
31,R600a,IHX,COMP2,6.33575,59.0,7.5474,636.238,2.3663,0.335473,2.981,7651.7,36303.01,44234.97,80537.98
32,R600a,COMP2,SNK_HX,6.33575,116.93,26.0191,693.221,2.3956,0.079693,12.548,1817.69,81391.27,47536.22,128927.49
32c,R600a,SNK_HX,cc2,6.33575,115.0,26.0191,517.263,1.9423,0.016272,61.454,371.15,38311.81,47536.22,85848.03
33,R600a,cc2,VAL2,6.33575,115.0,26.0191,517.263,1.9423,0.016272,61.454,371.15,38311.81,47536.22,85848.03
34,R600a,VAL2,IHX,6.33575,54.0,7.5474,517.263,2.0028,0.210079,4.76,4791.63,23868.51,44234.97,68103.49
41,water (sink),sink inlet,SNK_HX,0.5,110.0,1.4338,461.415,1.4188,0.000526,1901.896,0.95,48344.92,42.13,48387.05
42,water (sink),SNK_HX,sink outlet,0.5,110.0,1.4338,2691.061,7.2381,0.604646,1.654,1088.36,572077.54,42.13,572119.67
