label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,60.0,3.0,251.416,0.8311,0.015255,65.552,823.77,10467.41,199.02,10666.43
12,water (source),SRC_HX,source outlet,15.0,46.97,3.0,196.902,0.6642,0.01516,65.964,818.63,4885.67,199.02,5084.69
21,R717,SRC_HX,COMP1,0.92945,46.97,16.4102,1653.66,5.673,0.075427,13.258,252.38,81163.82,294202.35,375366.16
22,R717,COMP1,IHX,0.92945,154.52,51.1642,1866.687,5.7742,0.03222,31.037,107.81,258855.97,299875.38,558731.35
22c,R717,IHX,cc1,0.92945,85.0,51.1642,773.897,2.816,0.001874,533.756,6.27,33277.64,299875.38,333153.02
23,R717,cc1,VAL1,0.92945,85.0,51.1642,773.897,2.816,0.001874,533.756,6.27,33277.64,299875.38,333153.02
24,R717,VAL1,SRC_HX,0.92945,41.97,16.4102,773.897,2.8816,0.016588,60.286,55.5,19714.01,294202.35,313916.35
31,R600,IHX,COMP2,4.41923,85.0,10.1159,708.349,2.5086,0.181036,5.524,2880.14,66221.25,30047.54,96268.79
32,R600,COMP2,SNK_HX,4.41923,107.62,16.8006,733.807,2.522,0.102687,9.738,1633.66,86597.71,31199.21,117796.92
32c,R600,SNK_HX,cc2,4.41923,105.0,16.8006,478.513,1.8469,0.009654,103.586,153.58,29194.29,31199.21,60393.49
33,R600,cc2,VAL2,4.41923,105.0,16.8006,478.513,1.8469,0.009654,103.586,153.58,29194.29,31199.21,60393.49
34,R600,VAL2,IHX,4.41923,80.0,10.1159,478.513,1.858,0.051279,19.501,815.8,27105.87,30047.54,57153.41
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
42,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
