f1,f2,ls,T_src,T_steam,no_solve_class,label_c1,label_c2,Q_H_kW,m_steam [kg/s],m_steam [kg/h],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],scale_k,COP,eta_Lorenz,p_low_c1 [bar],p_high_c1 [bar],T_disch_c1 [°C],p_low_c2 [bar],p_high_c2 [bar],T_disch_c2 [°C],p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,feasible,reason,status,status_4state
R290,R600a,0.3,20,120.0,,R290,R600a,1101.06,0.5,1800.0,515.3,1632.4,136.66,526.84,698.42,1.0,1.577,0.415,6.02,21.17,75.5,6.85,30.88,127.6,True,False,True,True,False,False,False,"p_c2, V_c1, V_c2",ok,HARD
R290,R600a,0.3,30,120.0,,R290,R600a,1101.06,0.5,1800.0,477.2,1363.5,146.41,461.54,639.95,1.0,1.721,0.411,7.75,24.38,81.2,8.1,30.88,127.9,True,False,True,True,False,False,False,"p_c2, V_c1, V_c2",ok,HARD
R290,R600a,0.3,40,120.0,,R290,R600a,1101.06,0.5,1800.0,442.8,1142.9,155.05,399.68,583.93,1.0,1.886,0.405,9.84,27.95,87.4,9.52,30.88,128.3,True,False,True,True,False,False,False,"p_c2, V_c1, V_c2",ok,HARD
R290,R600a,0.3,50,120.0,,R290,R600a,1101.06,0.5,1800.0,413.4,960.9,163.13,341.36,531.04,1.0,2.073,0.394,12.32,31.91,93.9,11.11,30.88,128.7,False,False,True,True,False,False,False,"p_c1, p_c2, V_c1, V_c2",ok,HARD
R290,R600a,0.3,60,120.0,,R290,R600a,1101.06,0.5,1800.0,389.8,810.2,171.52,286.57,482.19,1.0,2.283,0.378,15.26,36.3,100.7,12.89,30.88,129.1,False,False,True,True,False,False,False,"p_c1, p_c2, V_c1, V_c2",ok,HARD
R290,R600a,0.4,20,120.0,,R290,R600a,1101.06,0.5,1800.0,647.6,1263.7,197.5,434.6,665.37,1.0,1.655,0.437,5.93,25.87,86.8,8.69,30.88,128.0,True,False,True,True,False,False,False,"p_c2, V_c1, V_c2",ok,HARD
R290,R600a,0.4,30,120.0,,R290,R600a,1101.06,0.5,1800.0,580.0,1087.3,203.51,382.66,617.02,1.0,1.784,0.427,7.68,29.04,91.5,9.96,30.88,128.4,True,False,True,True,False,False,False,"p_c2, V_c1, V_c2",ok,HARD
R290,R600a,0.4,40,120.0,,R290,R600a,1101.06,0.5,1800.0,524.6,937.6,208.56,333.32,570.4,1.0,1.93,0.415,9.78,32.51,96.6,11.36,30.88,128.7,False,False,True,True,False,False,False,"p_c1, p_c2, V_c1, V_c2",ok,HARD
R290,R600a,0.4,50,120.0,,R290,R600a,1101.06,0.5,1800.0,480.1,810.2,213.35,286.57,526.23,1.0,2.092,0.398,12.3,36.3,102.1,12.89,30.88,129.1,False,False,True,True,False,False,False,"p_c1, p_c2, V_c1, V_c2",ok,HARD
R290,R600a,0.4,60,120.0,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge,NOSOLVE
R290,R600a,0.5,20,120.0,,R290,R600a,1101.06,0.5,1800.0,796.4,984.8,272.39,349.47,654.59,1.0,1.682,0.444,5.9,31.32,98.1,10.88,30.88,128.6,False,False,True,True,False,False,False,"p_c1, p_c2, V_c1, V_c2",ok,HARD
R290,R600a,0.5,30,120.0,,R290,R600a,1101.06,0.5,1800.0,697.7,871.4,273.65,309.62,613.97,1.0,1.793,0.429,7.67,34.36,101.8,12.11,30.88,128.9,False,False,True,True,False,False,False,"p_c1, p_c2, V_c1, V_c2",ok,HARD
R290,R600a,0.5,40,120.0,,R290,R600a,1101.06,0.5,1800.0,620.0,772.1,274.39,271.55,574.68,1.0,1.916,0.411,9.8,37.64,105.9,13.44,30.88,129.2,False,False,True,True,False,False,False,"p_c1, p_c2, V_c1, V_c2",ok,HARD
R290,R600a,0.5,50,120.0,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge,NOSOLVE
R290,R600a,0.5,60,120.0,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: p_cond_c1=41.2 bar ≥ 0.95·p_crit=40.4 bar,NOSOLVE
R290,R600a,0.6,20,120.0,,R290,R600a,1101.06,0.5,1800.0,970.4,772.1,366.85,271.55,672.0,1.0,1.638,0.432,5.95,37.64,109.3,13.44,30.88,129.2,False,False,True,True,False,False,False,"p_c1, p_c2, V_c1, V_c2",ok,HARD
R290,R600a,0.6,30,120.0,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge,NOSOLVE
R290,R600a,0.6,40,120.0,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge,NOSOLVE
R290,R600a,0.6,50,120.0,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=97.0 °C ≥ T_crit=96.7 °C,NOSOLVE
R290,R600a,0.6,60,120.0,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=101.0 °C ≥ T_crit=96.7 °C,NOSOLVE
R290,R600a,0.7,20,120.0,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: p_cond_c1=41.2 bar ≥ 0.95·p_crit=40.4 bar,NOSOLVE
R290,R600a,0.7,30,120.0,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=98.0 °C ≥ T_crit=96.7 °C,NOSOLVE
R290,R600a,0.7,40,120.0,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=101.0 °C ≥ T_crit=96.7 °C,NOSOLVE
R290,R600a,0.7,50,120.0,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=104.0 °C ≥ T_crit=96.7 °C,NOSOLVE
R290,R600a,0.7,60,120.0,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=107.0 °C ≥ T_crit=96.7 °C,NOSOLVE
R290,R600,0.3,20,120.0,,R290,R600,1101.06,0.5,1800.0,624.6,1671.9,164.71,425.77,621.56,1.0,1.771,0.469,5.82,21.17,75.8,4.96,24.17,125.0,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600,0.3,30,120.0,,R290,R600,1101.06,0.5,1800.0,555.1,1393.7,169.89,375.24,573.83,1.0,1.919,0.461,7.54,24.38,81.4,5.93,24.17,125.1,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600,0.3,40,120.0,,R290,R600,1101.06,0.5,1800.0,498.7,1167.1,174.54,326.93,527.86,1.0,2.086,0.45,9.63,27.95,87.5,7.03,24.17,125.5,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600,0.3,50,120.0,,R290,R600,1101.06,0.5,1800.0,453.6,981.2,179.17,280.89,484.27,1.0,2.274,0.434,12.11,31.91,94.0,8.28,24.17,126.1,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600,0.3,60,120.0,,R290,R600,1101.06,0.5,1800.0,418.8,827.9,184.63,237.14,443.96,1.0,2.48,0.413,15.06,36.3,100.8,9.68,24.17,126.7,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600,0.4,20,120.0,,R290,R600,1101.06,0.5,1800.0,741.7,1291.0,224.7,354.26,609.43,1.0,1.807,0.479,5.79,25.87,87.0,6.38,24.17,125.3,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600,0.4,30,120.0,,R290,R600,1101.06,0.5,1800.0,647.5,1110.2,226.24,313.54,568.19,1.0,1.938,0.466,7.53,29.04,91.7,7.37,24.17,125.7,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600,0.4,40,120.0,,R290,R600,1101.06,0.5,1800.0,573.3,957.5,227.43,274.5,528.35,1.0,2.084,0.449,9.63,32.51,96.7,8.47,24.17,126.2,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600,0.4,50,120.0,,R290,R600,1101.06,0.5,1800.0,515.5,827.9,228.91,237.14,490.58,1.0,2.244,0.429,12.14,36.3,102.2,9.68,24.17,126.7,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600,0.4,60,120.0,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge,NOSOLVE
R290,R600,0.5,20,120.0,,R290,R600,1101.06,0.5,1800.0,875.4,1005.6,297.63,287.32,615.74,1.0,1.788,0.474,5.81,31.32,98.2,8.09,24.17,126.0,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600,0.5,30,120.0,,R290,R600,1101.06,0.5,1800.0,754.9,890.1,294.88,255.61,579.46,1.0,1.9,0.456,7.56,34.36,101.9,9.06,24.17,126.4,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600,0.5,40,120.0,,R290,R600,1101.06,0.5,1800.0,661.8,789.2,292.14,225.06,544.42,1.0,2.022,0.435,9.69,37.64,105.9,10.12,24.17,126.8,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600,0.5,50,120.0,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge,NOSOLVE
R290,R600,0.5,60,120.0,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: p_cond_c1=41.2 bar ≥ 0.95·p_crit=40.4 bar,NOSOLVE
R290,R600,0.6,20,120.0,,R290,R600,1101.06,0.5,1800.0,1034.7,789.2,389.45,225.06,646.85,1.0,1.702,0.45,5.89,37.64,109.4,10.12,24.17,126.8,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600,0.6,30,120.0,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge,NOSOLVE
R290,R600,0.6,40,120.0,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge,NOSOLVE
R290,R600,0.6,50,120.0,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=97.0 °C ≥ T_crit=96.7 °C,NOSOLVE
R290,R600,0.6,60,120.0,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=101.0 °C ≥ T_crit=96.7 °C,NOSOLVE
R290,R600,0.7,20,120.0,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: p_cond_c1=41.2 bar ≥ 0.95·p_crit=40.4 bar,NOSOLVE
R290,R600,0.7,30,120.0,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=98.0 °C ≥ T_crit=96.7 °C,NOSOLVE
R290,R600,0.7,40,120.0,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=101.0 °C ≥ T_crit=96.7 °C,NOSOLVE
R290,R600,0.7,50,120.0,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=104.0 °C ≥ T_crit=96.7 °C,NOSOLVE
R290,R600,0.7,60,120.0,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R290: T_cond_c1=107.0 °C ≥ T_crit=96.7 °C,NOSOLVE
R1270,R600a,0.3,20,120.0,,R1270,R600a,1101.06,0.5,1800.0,426.8,1632.4,137.63,526.84,699.44,1.0,1.574,0.414,7.37,25.28,81.7,6.85,30.88,127.6,True,False,True,True,False,False,False,"p_c2, V_c1, V_c2",ok,HARD
R1270,R600a,0.3,30,120.0,,R1270,R600a,1101.06,0.5,1800.0,398.3,1363.5,147.99,461.54,641.62,1.0,1.716,0.41,9.45,29.06,87.0,8.1,30.88,127.9,True,False,True,True,False,False,False,"p_c2, V_c1, V_c2",ok,HARD
R1270,R600a,0.3,40,120.0,,R1270,R600a,1101.06,0.5,1800.0,372.9,1142.9,157.58,399.68,586.6,1.0,1.877,0.403,11.93,33.25,92.8,9.52,30.88,128.3,False,False,True,True,False,False,False,"p_c1, p_c2, V_c1, V_c2",ok,HARD
R1270,R600a,0.3,50,120.0,,R1270,R600a,1101.06,0.5,1800.0,351.7,960.9,167.16,341.36,535.29,1.0,2.057,0.391,14.88,37.9,99.0,11.11,30.88,128.7,False,False,True,True,False,False,False,"p_c1, p_c2, V_c1, V_c2",ok,HARD
R1270,R600a,0.3,60,120.0,,R1270,R600a,1101.06,0.5,1800.0,336.1,810.2,177.99,286.57,489.01,1.0,2.252,0.373,18.37,43.08,105.4,12.89,30.88,129.1,False,False,True,True,False,False,False,"p_c1, p_c2, V_c1, V_c2",ok,HARD
R1270,R600a,0.4,20,120.0,,R1270,R600a,1101.06,0.5,1800.0,533.9,1263.7,198.86,434.6,666.8,1.0,1.651,0.436,7.27,30.8,94.2,8.69,30.88,128.0,False,False,True,True,False,False,False,"p_c1, p_c2, V_c1, V_c2",ok,HARD
R1270,R600a,0.4,30,120.0,,R1270,R600a,1101.06,0.5,1800.0,482.6,1087.3,205.93,382.66,619.57,1.0,1.777,0.425,9.36,34.53,98.3,9.96,30.88,128.4,False,False,True,True,False,False,False,"p_c1, p_c2, V_c1, V_c2",ok,HARD
R1270,R600a,0.4,40,120.0,,R1270,R600a,1101.06,0.5,1800.0,441.0,937.6,212.57,333.32,574.62,1.0,1.916,0.411,11.88,38.61,102.8,11.36,30.88,128.7,False,False,True,True,False,False,False,"p_c1, p_c2, V_c1, V_c2",ok,HARD
R1270,R600a,0.4,50,120.0,,R1270,R600a,1101.06,0.5,1800.0,408.5,810.2,219.71,286.57,532.93,1.0,2.066,0.393,14.87,43.08,107.8,12.89,30.88,129.1,False,False,True,True,False,False,False,"p_c1, p_c2, V_c1, V_c2",ok,HARD
R1270,R600a,0.4,60,120.0,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R1270: p_cond_c1=43.9 bar ≥ 0.95·p_crit=43.3 bar,NOSOLVE
R1270,R600a,0.5,20,120.0,,R1270,R600a,1101.06,0.5,1800.0,653.9,984.8,274.44,349.47,656.76,1.0,1.677,0.443,7.24,37.21,106.4,10.88,30.88,128.6,False,False,True,True,False,False,False,"p_c1, p_c2, V_c1, V_c2",ok,HARD
R1270,R600a,0.5,30,120.0,,R1270,R600a,1101.06,0.5,1800.0,579.0,871.4,277.59,309.62,618.12,1.0,1.781,0.426,9.36,40.79,109.4,12.11,30.88,128.9,False,False,True,True,False,False,False,"p_c1, p_c2, V_c1, V_c2",ok,HARD
R1270,R600a,0.5,40,120.0,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge,NOSOLVE
R1270,R600a,0.5,50,120.0,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,f1=R1270: p_cond_c1=44.7 bar ≥ 0.95·p_crit=43.3 bar,NOSOLVE
