label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,20.0,3.0,84.194,0.2964,0.015026,66.553,811.38,-0.0,199.02,199.02
13,water (source),SRC_HX,source outlet,15.0,11.18,3.0,47.248,0.1685,0.015005,66.646,810.26,567.6,199.02,766.63
21,R290,SRC_HX,COMP1,2.91771,11.18,5.7042,590.585,2.398,0.242144,4.13,2543.42,244.2,90964.28,91208.48
22,R290,COMP1,IHX,2.91771,92.76,28.4931,686.23,2.4508,0.049431,20.23,519.21,58036.78,113348.64,171385.42
22c,R290,IHX,cc1,2.91771,70.0,28.4931,400.646,1.6338,0.007173,139.406,75.35,11935.65,113348.64,125284.29
23,R290,cc1,VAL1,2.91771,70.0,28.4931,400.646,1.6338,0.007173,139.406,75.35,11935.65,113348.64,125284.29
24,R290,VAL1,SRC_HX,2.91771,6.18,5.7042,400.646,1.7183,0.121959,8.199,1281.02,9560.23,90964.28,100524.51
31,R600a,IHX,COMP2,6.2485,70.0,9.7386,650.615,2.3787,0.255117,3.92,5738.77,46632.21,44627.67,91259.89
32,R600a,COMP2,SNK_HX,6.2485,117.6,26.0191,695.677,2.4019,0.079477,12.582,1787.8,82003.34,47536.22,129539.56
32c,R600a,SNK_HX,cc2,6.2485,115.0,26.0191,517.263,1.9423,0.016048,62.312,361.0,38311.81,47536.22,85848.03
33,R600a,cc2,VAL2,6.2485,115.0,26.0191,517.263,1.9423,0.016048,62.312,361.0,38311.81,47536.22,85848.03
34,R600a,VAL2,IHX,6.2485,65.0,9.7386,517.263,1.9846,0.143851,6.952,3235.86,28816.96,44627.67,73444.64
41,water (sink),sink inlet,SNK_HX,0.5,110.0,1.4338,461.415,1.4188,0.000526,1901.896,0.95,48344.92,42.13,48387.05
43,water (sink),SNK_HX,sink outlet,0.5,110.0,1.4338,2691.061,7.2381,0.604646,1.654,1088.36,572077.54,42.13,572119.67
