name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,219.7125,2.8969,-28.2077,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,286.5686,2.3951,-17.9871,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-814.4884,65.8918,72.518,24.79,5.0,5.0,12.361,1.0,1.0,0.913,0.657,,,,,
SNK_HX,HeatExchanger,,,,,-1101.057,161.1499,211.9787,9.0659,5.0,5.0,6.8325,1.0,1.0,0.863,0.9912,,,,,
SRC_HX,HeatExchanger,,,,,-594.776,84.902,67.2913,9.4865,5.0,5.0,7.0054,1.0,1.0,0.6549,0.8975,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.3452,28.2077,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.4175,17.9871,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
