name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,183.7972,2.3314,-19.6227,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,191.6244,2.2325,-11.1686,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-923.1987,92.8154,89.5159,17.4087,5.0,5.0,9.9466,1.0,1.0,0.9238,0.8316,,,,,
SNK_HX,HeatExchanger,,,,,-1114.8231,194.18,222.3872,6.5522,5.0,5.0,5.7412,1.0,1.0,0.9327,0.9938,,,,,
SRC_HX,HeatExchanger,,,,,-739.4015,93.4291,76.4867,11.7863,5.0,5.0,7.914,1.0,1.0,0.7023,0.8794,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.4289,19.6227,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.4479,11.1686,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
