name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,180.1486,2.8915,-16.8762,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,270.6161,3.3019,-11.7124,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-857.5858,70.1811,81.6435,24.3395,5.0,5.0,12.2196,1.0,1.0,0.9525,0.7931,,,,,
SNK_HX,HeatExchanger,,,,,-1128.2019,220.3618,225.6265,5.2414,5.0,5.0,5.1198,1.0,1.0,0.9407,0.9952,,,,,
SRC_HX,HeatExchanger,,,,,-677.4371,93.9651,74.8205,9.99,5.0,5.0,7.2095,1.0,1.0,0.6662,0.9321,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.3458,16.8762,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.3029,11.7124,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
