name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,198.3199,4.1592,-30.3369,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,238.5978,2.7037,-12.9054,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-876.2252,29.7884,71.5594,90.0638,4.9954,5.0,29.415,0.9925,0.9806,0.978,0.4719,,,,,
SNK_HX,HeatExchanger,,,,,-1114.8231,194.6123,208.3085,6.5244,5.0,5.0214,5.7284,0.9878,1.0,0.9323,0.9939,,,,,
SRC_HX,HeatExchanger,,,,,-677.9053,87.3162,72.3142,11.396,5.0,5.0,7.7638,1.0,0.9821,0.6838,0.966,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.2467,29.8619,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.3818,12.5054,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
