label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,60.0,3.0,251.416,0.8311,0.015255,65.552,823.77,10467.41,199.02,10666.43
13,water (source),SRC_HX,source outlet,15.0,49.09,3.0,205.774,0.6919,0.015174,65.902,819.4,5659.8,199.02,5858.82
21,R717,SRC_HX,COMP1,0.79873,49.09,17.3846,1654.35,5.6513,0.061191,16.342,175.95,88076.01,294361.78,382437.79
22,R717,COMP1,IHX,0.79873,159.7,55.5122,1872.29,5.7535,0.025646,38.992,73.74,269814.89,300583.18,570398.07
22c,R717,IHX,cc1,0.79873,89.0,55.5122,797.207,2.8782,0.00164,609.78,4.72,37626.52,300583.18,338209.71
23,R717,cc1,VAL1,0.79873,89.0,55.5122,797.207,2.8782,0.00164,609.78,4.72,37626.52,300583.18,338209.71
24,R717,VAL1,SRC_HX,0.79873,44.09,17.3846,797.207,2.9498,0.014317,69.848,41.17,22868.17,294361.78,317229.95
31,R600a,IHX,COMP2,7.34076,89.0,14.5779,673.982,2.4,0.194842,5.132,5149.02,62891.88,45493.91,108385.8
32,R600a,COMP2,SNK_HX,7.34076,129.41,30.8803,706.998,2.4165,0.07491,13.349,1979.62,88182.34,48401.61,136583.95
32c,R600a,SNK_HX,cc2,7.34076,125.0,30.8803,557.006,2.04,0.020938,47.759,553.33,48542.55,48401.61,96944.15
33,R600a,cc2,VAL2,7.34076,125.0,30.8803,557.006,2.04,0.020938,47.759,553.33,48542.55,48401.61,96944.15
34,R600a,VAL2,IHX,7.34076,84.0,14.5779,557.006,2.0727,0.114234,8.754,3018.84,41860.23,45493.91,87354.14
41,water (sink),sink inlet,SNK_HX,0.5,120.0,1.9867,503.812,1.5279,0.00053,1886.213,0.95,58708.67,97.52,58806.2
43,water (sink),SNK_HX,sink outlet,0.5,120.0,1.9867,2705.926,7.1291,0.445606,2.244,802.09,618829.26,97.52,618926.78
