Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,40,3,167.8,572.3,43.9,2.927,2.728,0.199,0,-0,0,0,-0,0
12,15,29.49,3,123.9,429.7,12.42,0.8281,0.6291,0.199,-2.465e-14,6.508e-17,-2.459e-14,-7.257e-13,6.056e-15,-5.499e-13
21,3.304,29.49,9.399,610.4,2384,379.8,115,5.407,109.6,9.674,112.7,122.4,150.4,86.51,89.51
22,3.304,92.3,30.16,678.4,2422,568.2,172,58.31,113.7,64.1,117,181.1,92.43,86.51,88.52
22c,3.304,73,30.16,411,1663,420.2,127.2,13.51,113.7,14.85,117,131.8,92.43,86.51,87.14
23,3.304,73,30.16,411,1663,420.2,127.2,13.51,113.7,14.85,117,131.8,92.43,86.51,87.14
24,3.304,24.49,9.399,411,1715,369.6,111.9,2.316,109.6,2.546,112.7,115.3,92.43,86.51,86.63
31,4.874,73,7.725,691.8,2494,410.2,84.17,54.53,29.64,112.3,45.2,157.5,117.4,86.94,106.6
32,4.874,115.9,20.23,739.4,2518,606.8,124.5,92.72,31.79,170.5,48.49,219,104.8,86.94,100.3
32c,4.874,115,20.23,510.6,1929,333.9,68.52,36.73,31.79,67.56,48.49,116,104.8,86.94,96.53
33,4.874,115,20.23,510.6,1929,333.9,68.52,36.73,31.79,67.56,48.49,116,104.8,86.94,96.53
34,4.874,68,7.725,510.6,1963,285.6,58.6,28.97,29.64,53.27,45.2,98.48,104.8,86.94,95.78
41,0.5,110,1.434,461.4,1419,24.19,48.39,48.34,0.04213,0,0,0,0,0,0
42,0.5,110,1.434,2691,7238,286.1,572.1,572.1,0.04213,109,-0,109,105.9,-0,105.9
