name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,222.1625,2.9774,-22.0828,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,196.0552,2.3899,-9.7707,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-932.1467,75.7203,86.8538,24.6285,5.0,5.0,12.3104,1.0,1.0,0.9403,0.7984,,,,,
SNK_HX,HeatExchanger,,,,,-1128.2019,202.7401,225.3525,6.1705,5.0,5.0,5.5648,1.0,1.0,0.9413,0.9944,,,,,
SRC_HX,HeatExchanger,,,,,-709.9842,91.7667,74.5687,11.3264,5.0,5.0,7.7368,1.0,1.0,0.6937,0.9083,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.3359,22.0828,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.4184,9.7707,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
