name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,174.6766,3.234,-38.5464,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,247.7842,2.1576,-16.7024,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-853.2729,33.9084,70.3956,72.2435,4.99,5.0,25.1641,0.9946,0.9897,0.9731,0.4031,,,,,
SNK_HX,HeatExchanger,,,,,-1101.057,153.491,198.1974,9.9005,5.0,5.1035,7.1734,0.992,1.0,0.8643,0.9904,,,,,
SRC_HX,HeatExchanger,,,,,-678.5963,88.3129,72.4267,11.1903,5.0,5.0,7.684,1.0,0.99,0.684,0.9589,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.314,38.0714,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.4721,16.3024,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
