name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,154.9884,3.0903,-27.0153,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,267.3004,2.5605,-16.0096,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-847.5227,34.1435,72.3534,70.8126,4.9954,5.0,24.8224,0.9925,0.9856,0.9769,0.4625,,,,,
SNK_HX,HeatExchanger,,,,,-1114.8231,170.8726,207.6063,8.3308,5.0,5.0521,6.5243,0.9905,1.0,0.9038,0.9922,,,,,
SRC_HX,HeatExchanger,,,,,-692.5343,88.6952,73.2487,11.5105,5.0,5.0,7.808,1.0,0.9866,0.6884,0.9639,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.3305,26.5403,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.4001,15.6096,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
