name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,215.1718,2.8245,-21.791,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,221.4494,2.1952,-14.1664,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-893.3737,86.291,86.1149,18.6023,5.0,5.0,10.353,1.0,1.0,0.9268,0.7742,,,,,
SNK_HX,HeatExchanger,,,,,-1114.8231,172.2489,219.585,8.2083,5.0,5.0,6.4722,1.0,1.0,0.9044,0.9923,,,,,
SRC_HX,HeatExchanger,,,,,-678.2018,89.968,72.7121,10.8174,5.0,5.0,7.5383,1.0,1.0,0.6839,0.8916,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.354,21.791,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.4555,14.1664,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
