name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,183.7297,2.6585,-18.4857,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,229.7274,2.7652,-10.7248,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-898.4744,75.8128,85.3534,23.176,5.0,5.0,11.8512,1.0,1.0,0.9462,0.8052,,,,,
SNK_HX,HeatExchanger,,,,,-1128.2019,211.0879,225.5295,5.7049,5.0,5.0,5.3447,1.0,1.0,0.941,0.9948,,,,,
SRC_HX,HeatExchanger,,,,,-714.7447,92.0322,74.8238,11.4023,5.0,5.0,7.7662,1.0,1.0,0.6951,0.915,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.3762,18.4857,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.3616,10.7248,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
