Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,40,3,167.8,572.3,43.9,2.927,2.728,0.199,0,-0,0,0,-0,0
12,15,29.78,3,125.1,433.7,13,0.8664,0.6674,0.199,8.958e-15,-3.711e-16,8.587e-15,2.486e-13,-3.453e-14,1.835e-13
21,3.676,29.78,11.48,608.2,2375,481.6,131,5.72,125.3,10.5,140.2,150.7,138.7,84.56,86.92
22,3.676,107,40.79,685.1,2416,720.3,195.9,65.03,130.9,76.87,146.5,223.4,89.32,84.56,86.14
22c,3.676,80,40.79,434,1721,546.7,148.7,17.79,130.9,21.03,146.5,167.5,89.32,84.56,85.13
23,3.676,80,40.79,434,1721,546.7,148.7,17.79,130.9,21.03,146.5,167.5,89.32,84.56,85.13
24,3.676,24.78,11.48,434,1791,471,128.1,2.844,125.3,3.362,140.2,143.5,89.32,84.56,84.66
31,4.835,80,9.062,701.5,2502,441.5,91.31,61.44,29.87,124.4,45.79,170.2,116.3,88.07,107.1
32,4.835,116.6,20.23,741.2,2523,604.2,125,93.17,31.79,173.1,48.74,221.8,106.7,88.07,102
32c,4.835,115,20.23,510.6,1929,331.3,68.52,36.73,31.79,68.23,48.74,117,106.7,88.07,98.07
33,4.835,115,20.23,510.6,1929,331.3,68.52,36.73,31.79,68.23,48.74,117,106.7,88.07,98.07
34,4.835,75,9.062,510.6,1954,295.3,61.08,31.21,29.87,57.98,45.79,103.8,106.7,88.07,97.6
41,0.5,110,1.434,461.4,1419,24.19,48.39,48.34,0.04213,0,0,0,0,0,0
42,0.5,110,1.434,2691,7238,286.1,572.1,572.1,0.04213,111.1,-0,111.1,107.9,-0,107.8
