label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,40.0,3.0,167.792,0.5723,0.015116,66.154,816.28,2727.85,199.02,2926.88
13,water (source),SRC_HX,source outlet,15.0,28.98,3.0,121.748,0.4226,0.01506,66.403,813.22,563.72,199.02,762.74
21,R1270,SRC_HX,COMP1,2.96627,28.36,11.0792,607.071,2.3773,0.131139,7.625,1400.38,4067.89,125194.97,129262.86
22,R1270,COMP1,IHX,2.96627,86.86,29.9146,667.911,2.4114,0.04978,20.088,531.58,51298.27,128832.01,180130.28
22c,R1270,IHX,cc1,2.96627,62.97,29.6146,374.229,1.5553,0.006917,144.571,73.86,8619.6,128774.38,137393.99
23,R1270,cc1,VAL1,2.96627,62.97,29.6146,374.229,1.5553,0.006917,144.571,73.86,8619.6,128774.38,137393.99
24,R1270,VAL1,SRC_HX,2.96627,23.98,11.2542,374.229,1.5914,0.045853,21.809,489.64,1587.62,125228.94,126816.57
31,R600a,IHX,COMP2,5.50779,62.22,8.147,640.494,2.3699,0.269963,3.704,5352.84,39395.63,44342.46,83738.09
32,R600a,COMP2,SNK_HX,5.50779,107.54,22.0277,687.167,2.3945,0.086999,11.494,1725.02,76373.33,46824.62,123197.95
32c,R600a,SNK_HX,cc2,5.50779,105.0,21.7777,482.329,1.8539,0.013189,75.819,261.52,30054.47,46780.02,76834.49
33,R600a,cc2,VAL2,5.50779,105.0,21.7777,482.329,1.8539,0.013189,75.819,261.52,30054.47,46780.02,76834.49
34,R600a,VAL2,IHX,5.50779,58.0,8.297,482.329,1.8903,0.130134,7.684,2580.31,21798.06,44369.34,66167.4
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
43,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
