Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,40,3,167.8,572.3,43.9,2.927,2.728,0.199,0,-0,0,0,-0,0
12,15,28.84,3,121.2,420.6,11.18,0.7451,0.5461,0.199,-2.496e-14,-1.923e-17,-2.498e-14,-8.464e-13,-1.79e-15,-6.208e-13
21,3.001,28.84,11.21,607.5,2377,389.7,129.8,4.628,125.2,8.882,116.5,125.4,177.7,86.1,89.36
22,3.001,86.1,29.63,667,2410,538.9,179.6,50.79,128.8,51.82,119.8,171.6,94.44,86.1,88.46
22c,3.001,63,29.63,374.3,1556,412.4,137.4,8.632,128.8,8.807,119.8,128.6,94.44,86.1,86.62
23,3.001,63,29.63,374.3,1556,412.4,137.4,8.632,128.8,8.807,119.8,128.6,94.44,86.1,86.62
24,3.001,23.84,11.21,374.3,1592,380.4,126.8,1.535,125.2,1.566,116.5,118,94.44,86.1,86.2
31,5.516,63,8.297,641.5,2371,466.2,84.5,40.13,44.37,98.55,75.81,174.4,123.6,86.04,103.9
32,5.516,107,21.78,686.8,2395,677.5,122.8,76.04,46.78,159.9,79.93,239.8,105.9,86.04,98.32
32c,5.516,105,21.78,482.3,1854,423.8,76.83,30.05,46.78,63.2,79.93,143.1,105.9,86.04,93.8
33,5.516,105,21.78,482.3,1854,423.8,76.83,30.05,46.78,63.2,79.93,143.1,105.9,86.04,93.8
34,5.516,58,8.297,482.3,1890,365,66.17,21.8,44.37,45.84,75.81,121.6,105.9,86.04,92.57
41,0.5,100,1.014,419.2,1307,19.43,38.86,38.86,9.316e-05,0,0,0,0,0,0
42,0.5,100,1.014,2676,7354,261.3,522.6,522.6,9.316e-05,102.9,0,102.9,109.4,0,109.4
