name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,215.598,3.6503,-45.4153,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,167.4241,1.9344,-11.6732,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-933.6329,34.9307,75.0862,78.6519,5.0,5.0,26.7281,1.0,1.0,0.9715,0.484,,,,,
SNK_HX,HeatExchanger,,,,,-1101.057,176.0847,218.273,7.6996,5.0,5.0,6.253,1.0,1.0,0.9204,0.9925,,,,,
SRC_HX,HeatExchanger,,,,,-718.035,92.2576,74.8749,11.4455,5.0,5.0,7.7829,1.0,1.0,0.6961,0.9564,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.274,45.4153,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.517,11.6732,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
