name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,276.7292,4.5259,-23.9966,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,237.4277,2.5056,-13.0861,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-890.7742,63.7535,81.0354,30.065,5.0,5.0,13.9722,1.0,1.0,0.9472,0.7165,,,,,
SNK_HX,HeatExchanger,,,,,-1128.2019,188.4078,224.4474,7.0985,5.0,5.0,5.9881,1.0,1.0,0.9234,0.9935,,,,,
SRC_HX,HeatExchanger,,,,,-614.045,86.2112,68.4479,9.7746,5.0,5.0,7.1226,1.0,1.0,0.661,0.9262,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.221,23.9966,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.3991,13.0861,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
