name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,220.4892,3.399,-17.5534,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,229.7274,2.7652,-10.7248,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-898.4744,83.5193,87.2038,19.8114,5.0,5.0,10.7577,1.0,1.0,0.9472,0.8289,,,,,
SNK_HX,HeatExchanger,,,,,-1128.2019,211.0879,225.5295,5.7049,5.0,5.0,5.3447,1.0,1.0,0.941,0.9948,,,,,
SRC_HX,HeatExchanger,,,,,-677.9852,94.0411,74.9369,9.99,5.0,5.0,7.2095,1.0,1.0,0.6662,0.9221,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.2942,17.5534,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.3616,10.7248,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
